Zeitstempel;Name up to three movies from the 90s;Name up to three actors;Name up to three music genres;Name up to three books;Name up to three (book) authors;Name up to three politicians;Name up to three US presidents;Name up to three cities;Name up to three lakes;Name up to three mountains;Name up to three european capital cities;Name up to three european countries;Name up to three asian countries;Name up to three continents;Name up to three birds;Name up to three african animals;Name up to three pieces of furniture;Name up to three vegetables;Name up to three types of fast food;Name up to three landmarks/sights in Europe;Name up to three companies listed in the DAX (German stock index);Name up to three US companies;Name up to three US tech companies;What is your age?;What gender do you identify with?;What is the highest degree you have completed?;Which country are you from?
2022/02/28 5:09:27 PM OEZ;The Matrix, Groundhog Day, Goodfellas;Tom Cruise, Amy Adams, Arnold Schwarzenegger;Pop, Techno, Rap;Dune, How Democracies Die, Harry Potter;Frank Herbert, George R. R. Martin, J. K. Rowling ;Barack Obama, Olaf Scholz, Robert Habeck;Barack Obama, Joe Biden, George Washington;Berlin, New York, Moskau;Bodensee, Lake Victoria, Lake Tahoe;K2, Zugspitze, Brocken;Berlin, Paris, London;Germany, France, Italy;Japan, China, India;Europe, Africa, Asia;Robin, Mockingbird, Pelican;Lion, Elefant, Honey Badger;Chair, Table, Lamp;Peas, Carrot, Tomato;French Fries, Burger, Pizza;Eiffel tower, Brandenburger Gate, Colosseum;SAP, Allianz, Lufthansa;Microsoft, T-Mobile, Ralph Lauren;Apple, Google, Tesla;26;Male;Bachelor's degree;Germany
2022/03/01 5:03:02 PM OEZ;Batman, Matrix, Eyes Wide Shut;Jack Nicholson, Nicole Kidman, George Clooney;Metal, Rock, Pop;Hamlet, Faust, Werther;Shakespeare, Goethe, Stephen King;Angela Merkel, Joe Biden, George W. Bush;Joe Biden, Goerge W. Bush, Barack Obama;New York, Amsterdam, Berlin;Lake Geneva, Lake Tahoe, Lake Eerie;Mount Everest, Matterhorn, Nanga Parbat;Amsterdam, Berlin, Rome;Germany, France, Italy;China, Japan, Korea;Europe, Africa, America;Ostrich, Owl, Mockingbird;Elephant, Lion, Zebra;Chair, Table, Sofa;Cucumber, Tomato, Zucchini;Burger, Pizza, Fries;Eiffel Tower, Tower Bridge, Tower of Pisa;SAP, BMW, Siemens;Ford, General Electric, Meta;Meta, Alphabet, Zoom;44;Male;Doctorate (e.g. PhD);Germany
2022/03/01 5:34:10 PM OEZ;Total Recall, Lethal Weapon, Predator;Gérard Depardieu, Christina Ricci, Brad Pitt;Funk, Rock, Electro;Hyperion, Harry Potter, Game of Thrones;Asimov, Frank Herbert, Simmons;Jean-Luc Mélenchon, Raphaël Correa, Gabriel Boric;George Washington, Abraham Lincoln, Richard Nixon;Paris, New York, Istanbul;Erie, Léman;Kilimandjaro, Everest, Mont-Blanc;Paris, London, Madrid;France, Germany, Italy;Japan, China, Corea;Europe, Asia, America;Nightingale, Swallow, Pelican;Leopard, Hyena, Gazelle;Table, Cupboard, Chair;Leek, Cabbage, Potato;Burger, Poutine, Hotdog;Eiffel Tower, Pisa Tower, Stonehenge;Bayer, BMW, Volkswagen;General Motors, General Electric, McDonals;Google, Amazon, Microsoft;46;Male;Bachelor's degree;France
2022/03/01 6:25:03 PM OEZ;Léon: The Professional, The Matrix, Departed ;Brad Pitt, Denzel Washington, George Clooney;Techno, House, Jazz;Illuminati, Das Kapital, The Prisoner;J. K. Rowling, John Grisham, Dan Brown;Robert Habeck, Olaf Scholz, Martin Schulz;Donald Trump, John F. Kennedy, Gerald Ford;Berlin, New York, Kyiv;Gardasee, Lake Michigan, Bodensee;K2, Mount Everest, Zugspitze;Berlin, Paris, Madrid;Germany, France, UK;Thailand, Vietnam, China;Europe, North America, Asia;Eagle, Magpie, Owl;Zebra, Elephant, Lion;Bed, Sofa, Table;Zucchini, Aubergine, Peppers;Burger, Fries, Pizza;Eiffeltower, Brandenburg Gate, London Eye;Deutsche Lufthansa AG, Volkswagen AG, Fresenius AG;Apple, Alphabet, Tesla Motors;Alphabet, Apple, Oracle;28;Male;Master's degree;Germany
2022/03/01 6:31:24 PM OEZ;Home Alone, matrix, titanic ;Nicole Kidman, Meryl Streep, Penelope Cruz;Jazz, pop, hip-hop;Idiot, Noisy Bear, Being and Time;Dostoevsky, Nabokov, Bradbury;Merkel, Obama, Biden;Obama, Biden, Lincoln ;Leuven, Chisinau, Moscow;Geneva lake Baikal lake, Lugano Lake;Alps, Jura, Carpaty ;Brussels, Paris, Berlin;Austria, Germany, France ;Vietnam, Thailand, Japan ;Asia, Africa, Australia ;Sparrow, eagle, gull;Elephant, zebra, giraffe;Chair, table, cabinet;Bell pepper, aubergine, tomato;Fries, burger, nuggets ;Eiffel Tower, Big Ben, Maneken Piss;Zalando, Volkswagen, Daimler;Walmart, Amazon, Apple;Tesla, Google, Microsoft ;34;Female;Master's degree;Switzerland 
2022/03/01 7:08:11 PM OEZ;Matrix;Leonardo DiCaprio, Dwayne Johnson, Tom Holland;Pop, Jazz, Swing;Artemis Fowl, Harry Potter and the Philisopher's Stone, Dune;J.K. Rowling, George R. R. Martin, Eoin Colfer;Angela Merkel, Emanuel Macron, Olaf Scholz;Barrack Obama, Donald Trump, Joe Biden;Paris, Berlin, London;Bodensee;Mount Everest, Zugspitze, Mount Rushmore;Berlin, Amsterdam, Paris;Germany, France, Spain;China, Korea, Japan;Asia, Europe, Africa;Eagle, Dove, Pigeon;Elephant, Lion, Hyena;Chair, Sofa, Table;Zucchini, Eggplant, Carrot;Burgers, Sandwiches, Pizza;Eiffel Tower, Brandenburger Tor, Neuschwansteiner Schloss;Mercedes-Benz, BASF, SAP;Microsoft, Apple, Google;Apple, Microsoft, Google;27;Male;Bachelor's degree;Germany
2022/03/01 7:27:46 PM OEZ;Oceans 11, Star Wars, Harry Potter;George Clooney, Amanda Seyfried, Matt Damon;Rock, Pop, Classic;Unterleuten, Vernichtung, Lord of the Flies;Juli Zeh, Michel Houellebecq, Michael Lewis;Angela Merkel, Boris Johnson, Arnold Schwarzenegger;Washington, Adams, Madison;Brussels, London, Berlin;Garda lake, Tegernsee, Bodensee;Mont Blanc, Mount Everest, K2;Brussels, London, Berlin;Germany, Switzerland, Denmark;Myanmar, China, Japan;Europe, Africa, Asia;Eagle, Sparrow, Duck;Lion, Giraffe, elephant ;Couch, Chair, Wardrobe;Cucumber, Tomato, Grapes;Burger, Pommes, Döner;Brandenburg Gate, Big Ben, Tower Bridge;SAP, BASF, Zalando;Stripe, Apple, Microsoft;Stripe, Apple, Microsoft;27;Male;Master's degree;Germany
2022/03/01 7:39:15 PM OEZ;Pretty Woman, Der mit dem Wolf tanzt, Das Schweigen der Lämmer;Angelina Jolie, Bratt Pitt, Moritz Bleibtreu;Jazz, R'n'B, HipHop;Kleider machen Leute, Bibel, Meine Spielzüge;J.K. Rowling, Sebastian Fitzek, Martin Suter;Merkel, Clinton, Putin;Clinton, Bush, Trump;Berlin, Amsterdam, Köln;Bodenseee, Gardasee, Michigansee;Vogelsberg, Sandberg, K2;Rome, Brüssel, Berlin;Bulgarien, Polen, Italien;Thailand, China, Pakistan;Asien, Afrika, Europa;Adler, Bussard, Amsel;Löwe, Elefant, Antilope;Stuhl, Tisch, Schrank;Gurke, Paprika, Radieschen;Burger, Pizza, Asiatisch;Eifelturm, Brandenburger Tor, London Eye;BASF, BMW, Allianz;3M, AT&T, Nike;Amazon, Apple, Alphabet;27;Male;Master's degree;Germany
2022/03/01 7:49:14 PM OEZ;American Pie 1, American Pie 2, American Pie 3;Brad Pitt, Robert de Niro, Ben Affleck;Rap, Pop, Metal;Souverän investieren mit etf's, Der Herr der Ringe, 1984;Sebastian Fitzek, Gerd Kommer;Olaf Scholz, Vladimir Putin, Ursula von der Leyen;Bill Clinton, George W. Bush, Barack Obama;Berlin, London, Belfast;Bodensee, Gardasee, Tegernsee;Mount Everest, Königstuhl, Großglockner;Berlin, Paris, London;Germany, Austria, Switzerland;Taiwan, West Taiwan, Japan;Europe, Africa, Australia;Eagle, Falcon, Ostrich;Lion, Elephant, Giraffe;Couch, Dining Table, Bed;Potatoes, Carotte, Beans;Bürger, Pizza, Chips ;Odenwald, Alps, Cote d'azur;Volkswagen, Adidas, Rheinmetall;Apple, Google, Microsoft;Apple, Google, Microsoft;28;Male;High school degree or equivalent;Germany
2022/03/01 8:02:17 PM OEZ;Matrix, Pulp Fiction, Shawshank Redemption ;Robert De Niro, Tom Hanks, Christoph Waltz;Rock, Pop, Classical;1984, Harry Potter and the Philosopher's Stone, Lord of the rings;George Orwell, George R. R. Martin, Ernest Cline;Wladimir Putin, Marcus Tullius Cicero, Angela Merkel ;George Washington, Abraham Lincoln, Barack Obama;Heidelberg, New York, Mailand ;Lake Constance, Lake Garda, Lake Baikal;Zugspitze, Mount Everest, Kilimanjaro;Rome, Madrid, London ;Germany, France, Spain ;China, Japan, India;Australia, North America, South America;Eagle, Penguin, Kiwi;Elephant, Giraffe, Chetah;Chair, Table, Bed ;Tomato, Potato, Carrot;Pizza, Döner Kebab, Currywurst ;Brandenburg Gate, Colosseum, Eiffel Tower;VW, SAP, Heidelberg Cement;Ford, GM, Google;Google, Palantir, Uber;29;Male;Master's degree;Germany
2022/03/01 8:06:29 PM OEZ;Batman Returns, The Rainmaker;Kevin Bacon, Leonardo DiCaprio, Angelina Jolie;Rock, Pop, Metal;the Bible, 1984;Marc Elsberg, George R.R. Martin, George Orwell;Merkel, Obama, Johnson;Obama, Bush, Biden;Berlin, Paris, Brussels;Bodensee, Lake Michigan;Zugspitze, Matterhorn, Mount Everest;Berlin, Brussels, Paris;Germany, Switzerland, Denmark;China, Japan, Nepal;Africa, Europa, Antarctica;Robin, Owl, Penguin;elephant, giraffe, lion;couch, table, chair;carrots;Burger, Falaffel, Döner;Zugspitze;Daimler, Volkswagen, SAP;Tesla, SpaceX, Ford;Meta, Apple, Google;26;Male;Master's degree;Germany
2022/03/01 8:09:41 PM OEZ;Jurrasic Park, Forrest Gump, Gina Wild 3;Schwarzenegger, Stallone, Bruno Ganz;Metal, Rock, Choral;Zauberberg, Faust, Krabat;Kästner, Goethe, Franzen;Kohl, Merkel, Stroebel;Trump, Washington, Roosevelt ;Hövelhof, Delbrück, Detmold ;Bodensee, Steinhuder Meer, Chiemsee;Kahler Asten, Brocken, Kilimandscharo ;Berlin, Paris, Rome;Monaco, Vatikanstaat, Ukraine;Russland, Mongolei, Kasachstan ;Asien, Afrika, Amerika ;Amsel, Drossel, Fink;Elefant, Löwe, Nilpferd ;Stuhl, Bett, Tisch;Gurke, Spinat, Grünkohl ;Burger, Pizza, Bratwurst ;Externsteine, Felsenmeer, Rheinfall;Siemens, Mercedes, Deutsche Bank;3M, GeneralMotors, Johnson & Johnson;Apple, Amazon, Nvidia;37;Male;Master's degree;Germany 
2022/03/01 8:35:25 PM OEZ;Nottinghill;Julia Roberts, Til Schweiger, Jan-Josef Liefers;Hip Hop, Dance, Trance;Homo Deus, Die Kunst zu Lieben, Frederick;J. J. Tolkin, J.K. Rowling, Marc-Uwe Kling;Angela Merkel, Donald Trump, Joe Biden;J.W. Bush, Barack Obama, Donald Trump;Mannheim, Berlin, Düsseldorf;Bodensee, Balaton;Zugspitze, Mont Blanc, K2;Paris, Berlin, Stockholm;France, Germany, Denmark;India, China, Japan;Europe, Asia, Africa;Amsel, Rotkelchen, Storch;elephant, girafe, antilope;chair, table, wardrobe;Cucumber, pepper, tomatoe;Burger, Kebab, Fries;Eiffel Tower, Brandenburger Tor, Schloß Neuschwanstein;Henkel, Daimler;IBM, Amazon, Google;IBM, Amazon, Google;24;Male;Master's degree;Germany
2022/03/01 8:50:24 PM OEZ;night before christmas;;Rock, Pop, Indie;Lord of the Rings, Harry Potter, Rubinrot;J.K. Rowling, Tolkien, Kerstin Gier;Olaf Scholz, Annalena Baerbock, Christian Lindner;Biden, Obama, Washington ;Berlin, Paris, Rome;Bodensee, Gardasee, Eibsee;Zugspitze, Mont Blanc, Fuji;Berlin, Paris, Brüssel ;Germany, France, Italy;Toyota, Fujitsu, Huawai;Afrika, Europe, Australia;Dove, Crow, stork;Lion, Elephant, Giraffe;Couch, Bed, Table;Bellpepper, eggplant, carrot;Burger, Pizza, Döner;Eifeltour, Coloseum, Neuschwanstein ;SAP, Lufthansa, BASF;Microsoft, Amazon and Apple ;Microsoft, Amazon and Apple ;26;Female;Master's degree;Germany
2022/03/01 9:15:19 PM OEZ;Home alone, dirty dancing ;Jennifer Lawrence, Ben Affleck, Chris Hemsworth;Metal, classical, Jazz;The girl with the dragon tattoo, Deacon King Kong, The Vanishing half;Michelle Obama, JK Rowling, Gottfried Keller;Merkel, Putin, Biden;Washington, Obama, Biden;Amsterdam, Berlin, Munich;Lake Michigan, Lake Constance, lake como ;Mount Everest, Kilimanjaro, Mont Blanc;Rome, Berlin, Amsterdam;Germany, Italy, France;China, Japan, South Korea ;Africa, South America, Australia;Eagle, Hummingbird, Robin;Giraffe, Zebra, Lion;Sofa, chair, bed;Cucumber, pepper, carrot ;French Fries, burger, chicken nuggets ;Colosseum, Neuschwanstein, Tower of Pisa;BASF, SAP, Henkel;Walmart, Space X, Amazon;Apple, Microsoft, Dell;26;Female;Master's degree;Germany
2022/03/01 9:26:37 PM OEZ;Clueless, American Pie;Blake Lively, Sandra Oh, George Clooney;Soul, Indie, Hip Hop;Die Therapie, Hannes, ein ganzes halbes Jahr;Sebastian Fitzek, Rita Falk, Jojo Moyes;Merkel, Söder, Scholz;Biden, Trump, Bush;München, Berlin, Hamburg;Bodensee, Chiemsee, Walchensee;Zugspitze, Dolomiten, Karwendel;Berlin, Rome, London;Deutschland, Frankreich, Spanien;Indonesien, Thailand, Laos;Asia, Europe, Africa;Amsel, Drossel, Fink;Löwe, Giraffe, Antilope;Stuhl, Tisch, Couch;Gurke, Tomate, Spargel;Burger, Chips, Onion Rings;Eiffelturm, Schloss Neuschwanstein, Colosseum;BMW;Apple, Microsoft, Nestle;Apple, Samsung, Microsoft;28;Female;Doctorate (e.g. PhD);Germany
2022/03/01 9:30:21 PM OEZ;;Tom cruse, Daniel Craig;Hip Hop, classical? Jazz;Leaders eat last, The why are you here cafe, start with why ;Simon Sinek, Stephan King;Angela Merkel, Joschka Fischer, Wilfried Martens;Obama, Biden, trump ;San Francisco, Sydney, Berlin;Chiemsee, Bodensee;Mount Everest, Mount Blanc, K2;Brussels, Berlin, Kopenhagen ;Rome, Madrid, Belgium;Thailand, China, Japan ;Afrika, Europe, Asia ;Pidgeon ;Lion, Zebra, Elephant;Chair, Table, Bed ;Beans;Burger, Fries ;Eiffel Tower, Atomium;Allianz, Adidas, SAP;GM, General Electric, Microsoft ;Apple, Salesperson, Zsacler ;25;Male;;Germany
2022/03/01 9:53:44 PM OEZ;The lion king, The matrix, Titanic  ;George Cloony, Ryan Gossling, Jenifer Lawrence ;Jazz, Rock, Blues ;Harry Potter and the goblet of fire, To kill a mockingbird, the importance of being earnest ;J. K. Rowling, C. Ruiz Zafon, Jane Austen ;Angela Merkel, Olaf Scholz, Claudia Roth;George Washington, Barack Obama, Donald Trump;New York, Rio de Janeiro, Rosenheim;Lake Michigan, Lago Maggiore, Bodensee ;Mount Everest, Zugspitze, Feldberg;Paris, Berlin, London ;Germany, France, Italy;Vietnam, Singapur, China ;Africa, Europe, Asia ;Mocking bird, Chicken, Seagull ;Elephants, giraffes, lions ;Chair, Table, Wardrobe ;Cucumbers, carrots, bell peppers ;Burger, Pizza, Sandwich ;Eiffel Tower, Tower Bridge, Buckingham Palace ;Siemens, Volkswagen, BASF ;Meta, GlaxoSmithKline, General Motors ;Meta, Apple, IBM;31;Female;Master's degree;Germany 
2022/03/01 9:55:25 PM OEZ;Hone Alone, Matrix, Titanic;Bill Cosby, Charly Sheen, Pamela Anderson;Pop, Rock, Indie;The Hobbit, The Swarm, 50 Shades of Grey;Dan Brown, Frank Schätzing, JK Rowling;Merkel, Clinton, Scholz;Clinton, Obama, Trump;Mannheim, Hamburg, Munich;Lake of Constance, Lago Maggiore, Lake Erie;Zugspitze, Piz Buin, K2;Vienna, Berlin, London;Germany, Austria, Switzerland;India, Sri Lanka, South Korea;Africa, Europe, Australia;Owl, Hawk, Hummingbird;Elephant, Zebra, Gorilla;Table, Chair, Cupboard;Cucumber, Carrot, Salad;Hamburger, Pizza, Sandwich;Eiffel Tower, Rialto Bridge, Colosseum;BMW, Lufthansa, Siemens;Apple, Chrysler, Boeing;Apple, Meta, Alphabet;36;Male;Master's degree;Germany
2022/03/01 10:02:34 PM OEZ;Back to the future;Leonardo Di Caprio, Robert Deniro, Julia Roberts;Funk;Siddharta;JK Rowling;Angela Merkel, Wladimir Putin, Boris Johnson;Joe Biden;Kiew, Moscow, Freiburg;Bodensee;Matterhorn;Berlin, Paris;Germany, Switzerland, Ukraine;Indonesia, China, Vietnam;Asia, Australia;Mockingbird, Hummingbird;Tiger, Lion, Girrafe;Table;Potatoe;Burger, Pizza, Hot Dog;Eiffel Tower;BMW, VW, ThyssenKrupp;Unilever, Alphabet, Meta;Google;27;Male;Master's degree;Germany
2022/03/01 10:10:11 PM OEZ;Terminator, Jurassic Park, Water World;Hugh Jackman, Tom Cruise, Arnold Schwarzenegger;Hip Hop, Jazz, Metal;Harry Potter, Lord of the Rings, Kill your Friends;George R.R. Martin, Hohlbein, Tolkien;Merkel, Scholz, Söder;Trump, Biden, Obama;Berlin, London, Barcelona;Lake Geneva, Baikal Lake, Victoria Lake;Kilimanjaro, Mount Everest, Brocken;Paris, London, Berlin;Germany, France, Italy;India, China, Japan;Europe, North America, South America;Pidgeon, Swallow, Owl;Lion, Elephant, Gnu;Chair, Desk, Couch;Carrots, Onions, Pumpkin;Pizza, Burger, Döner;Eiffel tower, London bridge, Brandenburger Gate;Siemens, Infineon, Thyssen-Kripp;Tesla, Google, Amazon;Tesla, IBM, Amazon;33;Male;Doctorate (e.g. PhD);Germany
2022/03/01 10:55:52 PM OEZ;The Matrix, Die Hard, The Fifth Element;Christoph Waltz, Samuel L Jackson, Leonardo DiCaprio;Rock, Jazz, Classical;Slaughterhouse 5, A wrinkle in time, In the blink of an eye;Kurt Vonnegut, Julia Roberts, Mark Twain;Boris Johnson, Vladimir Putin, Olaf Schulz ;George W Bush, Barack Obama, Franklin Delano Roosevelt ;New York, Philadelphia, San Francisco;Huron, Keuka, Seneca;Mount Everest, Mount Kilimanjaro, Appalachian Mountains;Berlin, London, Rome;France, Germany, Denmark ;China, Taiwan, Vietnam;Asia, North America, Africa;Robin, crow, cardinal;Giraffe, Rhinoceros, Lion;Chair, Desk, End table;Carrot, Celery, Turnip;Hamburger, French Fries, Chicken Sandwich;Eiffel Tower, The Brandenburg Gate, Neuschwanstein Castle;;Exxon, DuPont, Oracle;Palantir, Apple, SpaceX;26;Male;Bachelor's degree;United States of America
2022/03/01 10:59:02 PM OEZ;Being John Malkovich, the Matrix;Sean Connery, Greta Garbo, Johnny Depp;Rock, Pop, Heavy Metal;;;Merkel, Macron, Putin;Clinton, Obama, Trump;Stockholm, Paris, Rome;Vättern, Vänern, Lago di Garda;Mount Everest, Kebnekaise, Mount Blanc;Paris, Rome, Stockholm;France, Italy, Spain;China, Korea, Japan;Euroe, Asia, Africa;Kiwi, Hummingbird;Elephant, Lion, Rhino;Chair, Table, bed;Cucumber, Pepper, Carrot;Hamburgers, hotdogs, pizza;Eiffel tower, tower of Pisa, colosseum;;Microsoft, Google, Apple;Microsoft, Apple, Google;44;Female;Doctorate (e.g. PhD);Sweden
2022/03/01 11:24:12 PM OEZ;American History X, Schindlers Liste, Matrix;Kevin Hart, Matt Daemon, Keanu Reeves;Techno, Trance, Metal;Rich Dad Poor Dad, Billy Summers, Playlist;Stephen King, Sebastian Fitzek, Robert T. Kyosaki;Christian Lindner, Karl Lauterbach, Olaf Scholz;Joe Biden, Donald Trump, Franklin D. Roosevelt;Vatikanstadt, Bangkok, Moskau;Mummelsee, Bodensee, Zürichsee;Mt. Everest, Zugspitze, Matterhorn;Berlin, Paris, Brüssel;Deutschland, Frankreich, Polen;Thailand, China, Korea;Europa, Asien, Amerika;Rotkehlchen, Eule, Spatz;Löwe, Elefant, Zebra;Stuhl, Tisch, Schrank;Brokkoli, Champignons, Karotte;Burger, Wings, Pommes;Eiffelturm, Reichstagsgebäude, Karlsbrücke;Fresenius, BMW, BASF;Apple, Microsoft, Nvidia;Nvidia, Meta, Alphabet;26;Male;Bachelor's degree;Deutschland
2022/03/02 12:03:37 AM OEZ;;Angelina Jolie, Daniel Radcliffe;Metal, Rock, Klassik;Das Café am Rande der Welt, Der Pfad des friedvollen Kriegers, ;;Angela Merkel;Abraham Lincoln, Barack Obama, George W. Bush;Köln, Heilbronn, München;Bodensee, Fühlinger See, Victoriasee;Mount Everest, Feldberg, Zugspitze;Paris, London, Madrid;Berlin, Köln, Heilbronn;Thailand, Myanmar, Cambodia;Europa, Afrika, Amerika;Adler, Meise, Specht;Elefant, Löwe, Giraffe;Sideboard, Schreibtisch, Schrank;Tomate, Gurke, Zuchini;Burger, Pizza, KFC;Eiffelturm, London Tower, Kölner Dom;SAP, Heidelberg Cement, Bechtle;Apple, Microsoft, Netflix;Apple, Paypal, Microsoft;27;Male;Bachelor's degree;
2022/03/02 12:12:08 AM OEZ;L.A. Confidental, Heat, The Green Mile;Leonardo Di Caprio, Ryan Gosling, Tom Hardy;Rock, hip hop, classical;Factfulness, The Autobiography of Malcom X, freakonomics;Hans D. Rosling;Olaf Scholz, Emmanuel Macron, Joe Biden;George W. Bush, Donald Trump, Ronald Reagan;Belfast, New York, Milan;Lake Michigan, Lago Maggiore, chiemsee;Feldberg, mount everest, k2;London, Madrid, Kopenhagen;Germany, France, Denmark;Japan, China, ;Europe, South America, Africa;Robin, Parrot, eagle;Lion, Elephant, Rhino;couch, desk, table;Onions, mushrooms, broccoli;Pizza, Burger, Kebab;Eiffel tower, Big Ben, Sagrada Familia;Allianz, Adidas, BMW;Google, FedEx, Apple;Google, Facebook, apple;23;Male;Bachelor's degree;Germany
