actors;p_age;p_gender;p_education;p_country;p_id;uri
jessica schwarz;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Jessica_Schwarz
brad pitt;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Brad_Pitt
george clooney;26;Female;Master's degree;France;56;http://dbpedia.org/resource/George_Clooney
jennifer aniston;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Jennifer_Aniston
til schweiger;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Til_Schweiger
christoph walz;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Christoph_Waltz
kevin spacey;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Kevin_Spacey
liam neeson;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Liam_Neeson
ewan mcgregor;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Ewan_McGregor
marlon brando;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Marlon_Brando
cumberbatch;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Benedict_Cumberbatch
lewis;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Damian_Lewis
schwarzenegger;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Arnold_Schwarzenegger
daniel craig;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Daniel_Craig
ellen pompeo;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Ellen_Pompeo
elias m‘barek;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Elyas_M'Barek
kevin costner;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Kevin_Costner
liam neeson;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Liam_Neeson
jennifer aniston;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Jennifer_Aniston
brad pitt;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Brad_Pitt
leonardo dicaprio;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Leonardo_DiCaprio
tom hanks;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Tom_Hanks
emma watson;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Emma_Watson
ryan gosling;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Ryan_Gosling
christian bale;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Christian_Bale
karry fisher;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Kacie_Fischer
ryan reynolds;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Ryan_Reynolds
benedict cumberbatch;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Benedict_Cumberbatch
otto walkes;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Otto_Waalkes
gal gadot;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Gal_Gadot
the rock;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Dwayne_Johnson
ryan reynolds;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Ryan_Reynolds
ryan reynolds;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Ryan_Reynolds
elyas m barek;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Elyas_M'Barek
scarlett johanssen;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Scarlett_Johansson
jonny depp;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Johnny_Depp
angelina jolie;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Angelina_Jolie
brad pitt;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Brad_Pitt
brad  pitt;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Brad_Pitt
bradley cooper;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Bradley_Cooper
sean connery;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Sean_Connery
george clooney;26;Female;Master's degree;France;70;http://dbpedia.org/resource/George_Clooney
keira knightley;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Keira_Knightley
tom holland;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Tom_Holland_(actor)
keanu reeves;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Keanu_Reeves
heath ledger;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Heath_Ledger
sean connery;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Sean_Connery
pitt;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Brad_Pitt
clooney;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/George_Clooney
bruce willis;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Bruce_Willis
jennifer lawrence;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Jennifer_Lawrence
tom ellis;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Thomas_Ellis
brad pitt;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Brad_Pitt
leonardo dicaprio;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Leonardo_DiCaprio
angelina jolie;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Angelina_Jolie
george clooney;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/George_Clooney
angelina jolie;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Angelina_Jolie
brad pitt;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Brad_Pitt
zendaya;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Zendaya
emma watson;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Emma_Watson
jennifer lawrence;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Jennifer_Lawrence
robert de niro;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Robert_De_Niro
humphrey bogart;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Humphrey_Bogart
jack nicholson;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Jack_Nicholson
schweiger;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Til_Schweiger
diesel;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Vin_Diesel
walker;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Paul_Walker
brad pitt;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Brad_Pitt
angelina jolie;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Angelina_Jolie
jennifer aniston;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Jennifer_Aniston
leonardo dicaprio;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Leonardo_DiCaprio
jennifer lawrence;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Jennifer_Lawrence
leonardo di caprio;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Leonardo_DiCaprio
tom hanks;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Tom_Hanks
emma watson;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Emma_Watson
the rock;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Dwayne_Johnson
adam sandler;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Adam_Sandler
kevin hart;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Kevin_Hart
jennifer lawrence;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Jennifer_Lawrence
brad pit;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Brad_Pitt
sandra bullock;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Sandra_Bullock
kristen stewart;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Kristen_Stewart
tom holland;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Tom_Holland_(actor)
robert pattinson;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Robert_Pattinson
hugh jackman;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Hugh_Jackman
emma stone;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Emma_Stone
ryan reynolds;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Ryan_Reynolds
leonardo dicaprio;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Leonardo_DiCaprio
tom hanks;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Tom_Hanks
matthew mcconaughey;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Matthew_McConaughey
elyas m‘barek;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Elyas_M'Barek
daniel radcliffe;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Daniel_Radcliffe
mark wahlberg;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Mark_Wahlberg
leonardo dicaprio;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Leonardo_DiCaprio
will smith;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Will_Smith
till schweiger;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Til_Schweiger
leonardo di caprio;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Leonardo_DiCaprio
orlando bloom;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Orlando_Bloom
channing tatum;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Channing_Tatum
eddie murphy;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Eddie_Murphy
leonardo di caprio;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Leonardo_DiCaprio
tom hardy;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Tom_Hardy
leonardo dicaprio;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Leonardo_DiCaprio
kate winslet;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Kate_Winslet
jamie foxx;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Jamie_Foxx
tom holland;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Tom_Holland_(actor)
jonah hill;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Jonah_Hill
mila kunis;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Mila_Kunis
robert de niro;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Robert_De_Niro
tom hanks;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Tom_Hanks
morgen freeman;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Morgan_Freeman
tom hanks;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Tom_Hanks
david hasselhoff;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/David_Hasselhoff
dwayne johnson;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Dwayne_Johnson
tom cruise;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Tom_Cruise
angelina jolie;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Angelina_Jolie
julie andrews;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Julie_Andrews
leonardo di caprio;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Leonardo_DiCaprio
will smith;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Will_Smith
robert de niro;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Robert_De_Niro
tom hanks;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Tom_Hanks
robin williams;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Robin_Williams
julia roberts;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Julia_Roberts
robert downey jr.;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Robert_Downey_Jr.
jennifer aniston;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Jennifer_Aniston
kevin james;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Kevin_James
chris evans;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Chris_Evans_(actor)
sebastian stan;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Sebastian_Stan
jensen ackles;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Jensen_Ackles
chris pratt;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Chris_Pratt
brad pitt;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Brad_Pitt
matt damon;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Matt_Damon
michelle keegan;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Michelle_Keegan
david walliams;23;Female;Master's degree;England;101;http://dbpedia.org/resource/David_Walliams
jennifer aniston;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Jennifer_Aniston
brad pitt;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Brad_Pitt
angelina jolie;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Angelina_Jolie
daniel craig;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Daniel_Craig
juliette binoche;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Juliette_Binoche
julia roberts;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Julia_Roberts
brad pitt;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Brad_Pitt
lily james;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Lily_James
paul dano;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Paul_Dano
richard gere;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Richard_Gere
julia roberts;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Julia_Roberts
bruce willis;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Bruce_Willis
max schreck;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Max_Schreck
peter lorre;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Peter_Lorre
orson welles;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Orson_Welles
kevin bacon;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Kevin_Bacon
keanu reeves;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Keanu_Reeves
dustin hoffman;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Dustin_Hoffman
hugh grant;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Hugh_Grant
jack nicholson;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Jack_Nicholson
marlene dietrich;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Marlene_Dietrich