authors;p_age;p_gender;p_education;p_country;p_id;uri
frank herbert;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Frank_Herbert
george r. r. martin;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/George_R._R._Martin
j. k. rowling;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/J._K._Rowling
shakespeare;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/William_Shakespeare
goethe;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Goethe-Institut
stephen king;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Stephen_King
asimov;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Isaac_Asimov
frank herbert;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Frank_Herbert
simmons;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Dan_Simmons
j. k. rowling;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/J._K._Rowling
john grisham;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/John_Grisham
dan brown;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/James_Brown
dostoevsky;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Fyodor_Dostoevsky
nabokov;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Vladimir_Nabokov
bradbury;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Ray_Bradbury
j.k. rowling;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/J._K._Rowling
george r. r. martin;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/George_R._R._Martin
eoin colfer;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Eoin_Colfer
juli zeh;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Juli_Zeh
michel houellebecq;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Michel_Houellebecq
michael lewis;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Michael_Lewis
j.k. rowling;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/J._K._Rowling
sebastian fitzek;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Sebastian_Fitzek
martin suter;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Martin_Suter
sebastian fitzek;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Sebastian_Fitzek
gerd kommer;28;Male;High school degree or equivalent;Germany;8;NaN
george orwell;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/George_Orwell
george r. r. martin;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/George_R._R._Martin
ernest cline;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Ernest_Cline
marc elsberg;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Marc_Elsberg
george r.r. martin;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/George_R._R._Martin
george orwell;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/George_Orwell
kästner;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Erich_Kästner
goethe;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Goethe-Institut
franzen;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Jonathan_Franzen
j. j. tolkin;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/J._R._R._Tolkien
j.k. rowling;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/J._K._Rowling
marc uwe kling;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Marc-Uwe_Kling
j.k. rowling;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/J._K._Rowling
tolkien;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/J._R._R._Tolkien
kerstin gier;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Kerstin_Gier
michelle obama;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Michelle_Obama
jk rowling;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/J._K._Rowling
gottfried keller;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Gottfried_Keller
sebastian fitzek;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Sebastian_Fitzek
rita falk;28;Female;Doctorate (e.g. PhD);Germany;15;NaN
jojo moyes;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Jojo_Moyes
simon sinek;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Simon_Sinek
stephan king;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Stephen_King
j. k. rowling;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/J._K._Rowling
c. ruiz zafon;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Carlos_Ruiz_Zafón
jane austen;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Jane_Austen
dan brown;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/James_Brown
frank schätzing;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Frank_Schätzing
jk rowling;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/J._K._Rowling
jk rowling;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/J._K._Rowling
george r.r. martin;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/George_R._R._Martin
hohlbein;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Aaron_Hohlbein
tolkien;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/J._R._R._Tolkien
kurt vonnegut;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Kurt_Vonnegut
julia roberts;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Julia_Roberts
mark twain;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Mark_Twain
nan;44;Female;Doctorate (e.g. PhD);Sweden;22;NaN
stephen king;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Stephen_King
sebastian fitzek;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Sebastian_Fitzek
robert t. kyosaki;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Robert_Kiyosaki
nan;27;Male;Bachelor's degree;NaN;24;NaN
hans d. rosling;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Hans_Rosling
steven king;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Stephen_King
goethe;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Goethe-Institut
franz kafka;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Franz_Kafka
jk rowling;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/J._K._Rowling
tom clancy;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Tom_Clancy
stephen king;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Stephen_King
dan brown;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/James_Brown
j.k. rowling;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/J._K._Rowling
alfred hitchcock;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Alfred_Hitchcock
stephen king;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Stephen_King
jk rowling;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/J._K._Rowling
;30;Male;Bachelor's degree;USA;29;NaN
erich fromm;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Erich_Fromm
astrid lindgren;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Astrid_Lindgren
martin suter;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Martin_Suter
terry pratchett;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Terry_Pratchett
fyodor dostoevsky;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Fyodor_Dostoevsky
franz kafka;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Franz_Kafka
tolkin;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Michael_Tolkin
hesse;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Hermann_Hesse
camus;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Albert_Camus
tolstoy;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Leo_Tolstoy
carnegie;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Dale_Carnegie
bradbury;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Ray_Bradbury
j.k. rowling;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/J._K._Rowling
thomas mann;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Thomas_Mann
ferdinand von schirach;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Ferdinand_von_Schirach
tolkien;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/J._R._R._Tolkien
george r. r. martin;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/George_R._R._Martin
ray bradbury;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Ray_Bradbury
astrid lindgren;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Astrid_Lindgren
stephen king;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Stephen_King
garcia;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Gabriel_García_Márquez
lev grossman;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Lev_Grossman
arthur conan doyle;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Arthur_Conan_Doyle
walter isaacson;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Walter_Isaacson
grass;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Günter_Grass
berthold brecht;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Bertolt_Brecht
irving;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/John_Irving
yuval noah harari;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Yuval_Noah_Harari
j. r. r. tolkien;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/J._R._R._Tolkien
j.k. rowling;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/J._K._Rowling
sebastian fitzek;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Sebastian_Fitzek
j.k. rowling;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/J._K._Rowling
stephen king;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Stephen_King
sebastian fitzek;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Sebastian_Fitzek
dan brown;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/James_Brown
j.k. rowling;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/J._K._Rowling
tom clancy;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Tom_Clancy
simon beckett;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Simon_Beckett
lee child;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Lee_Child
j. k. rowling;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/J._K._Rowling
j. r. r. tolkien;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/J._R._R._Tolkien
stephen king;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Stephen_King
stephen king;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Stephen_King
henning mankel;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Henning_Mankell
diana gabaldon;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Diana_Gabaldon
hermann hesse;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Hermann_Hesse
haruki murakami;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Haruki_Murakami
sally rooney;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Sally_Rooney
stephen king;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Stephen_King
tolkien;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/J._R._R._Tolkien
rowling;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/J._K._Rowling
goethe;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Goethe-Institut
michael ende;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Michael_Ende
schiller;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Friedrich_Schiller
nan;23;Female;Bachelor's degree;Germany;48;NaN
jk rowling;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/J._K._Rowling
anita nair;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Anita_Nair
jonathan swift;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Jonathan_Swift
jane austin;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Jane_Austen
stephen king;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Stephen_King
george orwell;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/George_Orwell
john green;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Johnny_Green
jane austen;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Jane_Austen
j.k. rowling;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/J._K._Rowling
leo tolstoi;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Leo_Tolstoy
jane austen;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Jane_Austen
william shakespeare;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/William_Shakespeare
nan;25;Male;Bachelor's degree;Germany;53;NaN
tamora pierce;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Tamora_Pierce
moliere;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Molière
patrick suskind;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Patrick_Süskind
nele neuhaus;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Nele_Neuhaus
luisa neubauer;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Luisa_Neubauer
j.k. rowling;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/J._K._Rowling
